vendor,service_name,description,sku,os_type,currency,billing_type,unit_price,reservation_term,azure_region
Azure,,Azure SQL Database Compute (vCores),azure_sql_vcore,,USD,ANNUAL,1596,3,CN EAST 2
Azure,,Azure SQL Database Compute (vCores),azure_sql_vcore,,USD,ANNUAL,1596,3,CN NORTH 2
Azure,,Azure SQL Database Storage (GB),azure_sql_storage_gb,,USD,ANNUAL,1.38,0,US EAST 2
Azure,,Azure SQL Database Storage (GB),azure_sql_storage_gb,,USD,ANNUAL,1.38,0,US CENTRAL
Azure,,Azure SQL Database Storage (GB),azure_sql_storage_gb,,USD,ANNUAL,1.38,0,EU WEST
Azure,,Azure SQL Database Storage (GB),azure_sql_storage_gb,,USD,ANNUAL,1.38,0,EU NORTH
Azure,,Azure SQL Database Storage (GB),azure_sql_storage_gb,,USD,ANNUAL,1.38,0,CN EAST 2
Azure,,Azure SQL Database Storage (GB),azure_sql_storage_gb,,USD,ANNUAL,1.38,0,CN NORTH 2
Azure,,Annual storage cost per GB,azure_storage_gb,,USD,ANNUAL,0.72,0,US EAST 2
Azure,,Annual storage cost per GB,azure_storage_gb,,USD,ANNUAL,0.72,0,US CENTRAL
Azure,,Annual storage cost per GB,azure_storage_gb,,USD,ANNUAL,0.72,0,EU WEST
Azure,,Annual storage cost per GB,azure_storage_gb,,USD,ANNUAL,0.72,0,EU NORTH
Azure,,Annual storage cost per GB,azure_storage_gb,,USD,ANNUAL,0.72,0,CN EAST 2
Azure,,Annual storage cost per GB,azure_storage_gb,,USD,ANNUAL,0.72,0,CN NORTH 2
Azure,,Annual storage cost per GB,azure_backup_storage_gb,,USD,ANNUAL,2.914895039,0,US EAST 2
Azure,,Annual storage cost per GB,azure_backup_storage_gb,,USD,ANNUAL,2.914895039,0,US CENTRAL
Azure,,Annual storage cost per GB,azure_backup_storage_gb,,USD,ANNUAL,2.914895039,0,EU WEST
Azure,,Annual storage cost per GB,azure_backup_storage_gb,,USD,ANNUAL,2.914895039,0,EU NORTH
Azure,,Annual storage cost per GB,azure_backup_storage_gb,,USD,ANNUAL,2.914895039,0,CN EAST 2
Azure,,Annual storage cost per GB,azure_backup_storage_gb,,USD,ANNUAL,2.914895039,0,CN NORTH 2
Azure,,10K SMB & REST Operations - Put/Create/List,azure_rest_pcl,,USD,ANNUAL,0.18,0,US EAST 2
Azure,,10K SMB & REST Operations - Put/Create/List,azure_rest_pcl,,USD,ANNUAL,0.18,0,US CENTRAL
Azure,,10K SMB & REST Operations - Put/Create/List,azure_rest_pcl,,USD,ANNUAL,0.18,0,EU WEST
Azure,,10K SMB & REST Operations - Put/Create/List,azure_rest_pcl,,USD,ANNUAL,0.18,0,EU NORTH
Azure,,10K SMB & REST Operations - Put/Create/List,azure_rest_pcl,,USD,ANNUAL,0.18,0,CN EAST 2
Azure,,10K SMB & REST Operations - Put/Create/List,azure_rest_pcl,,USD,ANNUAL,0.18,0,CN NORTH 2
Azure,,10K SMB & REST Operations - Others,azure_rest_other,,USD,ANNUAL,0.018,0,US EAST 2
Azure,,10K SMB & REST Operations - Others,azure_rest_other,,USD,ANNUAL,0.018,0,US CENTRAL
Azure,,10K SMB & REST Operations - Others,azure_rest_other,,USD,ANNUAL,0.018,0,EU WEST
Azure,,10K SMB & REST Operations - Others,azure_rest_other,,USD,ANNUAL,0.018,0,EU NORTH
Azure,,10K SMB & REST Operations - Others,azure_rest_other,,USD,ANNUAL,0.018,0,CN EAST 2
Azure,,10K SMB & REST Operations - Others,azure_rest_other,,USD,ANNUAL,0.018,0,CN NORTH 2
Azure,,10K Azure Defender for Storage Transactions,azure_defender,,USD,ANNUAL,0.24,0,US EAST 2
Azure,,10K Azure Defender for Storage Transactions,azure_defender,,USD,ANNUAL,0.24,0,US CENTRAL
Azure,,10K Azure Defender for Storage Transactions,azure_defender,,USD,ANNUAL,0.24,0,EU WEST
Azure,,10K Azure Defender for Storage Transactions,azure_defender,,USD,ANNUAL,0.24,0,EU NORTH
Azure,,10K Azure Defender for Storage Transactions,azure_defender,,USD,ANNUAL,0.24,0,CN EAST 2
Azure,,10K Azure Defender for Storage Transactions,azure_defender,,USD,ANNUAL,0.24,0,CN NORTH 2
Azure,,Outbound Data Transfer - 5 - 10 TB - per GB,azure_out_data_gb,,USD,ANNUAL,1.044,0,US EAST 2
Azure,,Outbound Data Transfer - 5 - 10 TB - per GB,azure_out_data_gb,,USD,ANNUAL,1.044,0,US CENTRAL
Azure,,Outbound Data Transfer - 5 - 10 TB - per GB,azure_out_data_gb,,USD,ANNUAL,1.044,0,EU WEST
Azure,,Outbound Data Transfer - 5 - 10 TB - per GB,azure_out_data_gb,,USD,ANNUAL,1.044,0,EU NORTH
Azure,,Outbound Data Transfer - 5 - 10 TB - per GB,azure_out_data_gb,,USD,ANNUAL,1.044,0,CN EAST 2
Azure,,Outbound Data Transfer - 5 - 10 TB - per GB,azure_out_data_gb,,USD,ANNUAL,1.044,0,CN NORTH 2
Azure,,Annual shared service per VM,azure_shared_service,,USD,ANNUAL,951.09,0,US EAST 2
Azure,,Annual shared service per VM,azure_shared_service,,USD,ANNUAL,951.09,0,US CENTRAL
Azure,,Annual shared service per VM,azure_shared_service,,USD,ANNUAL,951.09,0,EU WEST
Azure,,Annual shared service per VM,azure_shared_service,,USD,ANNUAL,951.09,0,EU NORTH
Azure,,Annual shared service per VM,azure_shared_service,,USD,ANNUAL,951.09,0,CN EAST 2
Azure,,Annual shared service per VM,azure_shared_service,,USD,ANNUAL,951.09,0,CN NORTH 2
Azure,,Annual shared AAD per client,azure_shared_ad,,USD,ANNUAL,10,0,US EAST 2
Azure,,Annual shared AAD per client,azure_shared_ad,,USD,ANNUAL,10,0,US CENTRAL
Azure,,Annual shared AAD per client,azure_shared_ad,,USD,ANNUAL,10,0,EU WEST
Azure,,Annual shared AAD per client,azure_shared_ad,,USD,ANNUAL,10,0,EU NORTH
Azure,,Annual shared AAD per client,azure_shared_ad,,USD,ANNUAL,10,0,CN EAST 2
Azure,,Annual shared AAD per client,azure_shared_ad,,USD,ANNUAL,10,0,CN NORTH 2
Azure,,Annual site recovery per VM,azure_asr_agent,,USD,ANNUAL,25,0,US EAST 2
Azure,,Annual site recovery per VM,azure_asr_agent,,USD,ANNUAL,25,0,US CENTRAL
Azure,,Annual site recovery per VM,azure_asr_agent,,USD,ANNUAL,25,0,EU WEST
Azure,,Annual site recovery per VM,azure_asr_agent,,USD,ANNUAL,25,0,EU NORTH
Azure,,Annual site recovery per VM,azure_asr_agent,,USD,ANNUAL,25,0,CN EAST 2
Azure,,Annual site recovery per VM,azure_asr_agent,,USD,ANNUAL,25,0,CN NORTH 2
Azure,,Annual shared keyvault,azure_kv,,USD,ANNUAL,68.8,0,US EAST 2
Azure,,Annual shared keyvault,azure_kv,,USD,ANNUAL,68.8,0,US CENTRAL
Azure,,Annual shared keyvault,azure_kv,,USD,ANNUAL,68.8,0,EU WEST
Azure,,Annual shared keyvault,azure_kv,,USD,ANNUAL,68.8,0,EU NORTH
Azure,,Annual shared keyvault,azure_kv,,USD,ANNUAL,68.8,0,CN EAST 2
Azure,,Annual shared keyvault,azure_kv,,USD,ANNUAL,68.8,0,CN NORTH 2
Azure,,Annual WAF/DDoS service per GB,azure_waf_ddos_gb,,USD,ANNUAL,20.88,0,US EAST 2
Azure,,Annual WAF/DDoS service per GB,azure_waf_ddos_gb,,USD,ANNUAL,20.88,0,US CENTRAL
Azure,,Annual WAF/DDoS service per GB,azure_waf_ddos_gb,,USD,ANNUAL,20.88,0,EU WEST
Azure,,Annual WAF/DDoS service per GB,azure_waf_ddos_gb,,USD,ANNUAL,20.88,0,EU NORTH
Azure,,Annual WAF/DDoS service per GB,azure_waf_ddos_gb,,USD,ANNUAL,20.88,0,CN EAST 2
Azure,,Annual WAF/DDoS service per GB,azure_waf_ddos_gb,,USD,ANNUAL,20.88,0,CN NORTH 2
Azure,,Azure Network Internet EGRESS (OUT),azure_inet_egress_gb,,USD,ANNUAL,1.0314,0,US EAST 2
Azure,,Azure Network Internet EGRESS (OUT),azure_inet_egress_gb,,USD,ANNUAL,1.0314,0,US CENTRAL
Azure,,Azure Network Internet EGRESS (OUT),azure_inet_egress_gb,,USD,ANNUAL,1.0314,0,EU WEST
Azure,,Azure Network Internet EGRESS (OUT),azure_inet_egress_gb,,USD,ANNUAL,1.0314,0,EU NORTH
Azure,,Azure Network Internet EGRESS (OUT),azure_inet_egress_gb,,USD,ANNUAL,1.0314,0,CN EAST 2
Azure,,Azure Network Internet EGRESS (OUT),azure_inet_egress_gb,,USD,ANNUAL,1.0314,0,CN NORTH 2
Azure,,Azure Network Express Route EGRESS (OUT),azure_er_egress_gb,,USD,ANNUAL,0.05351,0,US EAST 2
Azure,,Azure Network Express Route EGRESS (OUT),azure_er_egress_gb,,USD,ANNUAL,0.05351,0,US CENTRAL
Azure,,Azure Network Express Route EGRESS (OUT),azure_er_egress_gb,,USD,ANNUAL,0.05351,0,EU WEST
Azure,,Azure Network Express Route EGRESS (OUT),azure_er_egress_gb,,USD,ANNUAL,0.05351,0,EU NORTH
Azure,,Azure Network Express Route EGRESS (OUT),azure_er_egress_gb,,USD,ANNUAL,0.05351,0,CN EAST 2
Azure,,Azure Network Express Route EGRESS (OUT),azure_er_egress_gb,,USD,ANNUAL,0.05351,0,CN NORTH 2
inetSoft,,SR EE 5 Named User License Prodution,sr_5nul_prod,,USD,ANNUAL,2100,0,
inetSoft,,SR EE 5 Named User License Non Production ,sr_5nul_nonprod,,USD,ANNUAL,210,0,
inetSoft,,SR EE 5 Concurrent User License Production ,sr_5cul_prod,,USD,ANNUAL,8400,0,
inetSoft,,SR EE 5 Concurrent User License Non-Production ,sr_5cul_nonprod,,USD,ANNUAL,840,0,
inetSoft,,SR EE Core (4vCore) Production,sr_4vcore_prod,,USD,ANNUAL,16000,0,
inetSoft,,SR EE Core (4vCore) Non-Production,sr_4vcore_nonprod,,USD,ANNUAL,1600,0,
inetSoft,,SR 1 Named User Developer,sr_1nul_dev,,USD,ANNUAL,800,0,
