vendor,service_name,description,sku,os_type,currency,billing_type,unit_price,reservation_term,azure_region
Azure,Virtual Machines,Virtual Machines A Series Basic - A1 - EU West,A1,LINUX,USD,ANNUAL,225.13,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Basic - A1 - US Central,A1,LINUX,USD,ANNUAL,208.49,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Basic - A1 - US East 2,A1,LINUX,USD,ANNUAL,199.73,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Basic - A2 - EU North,A2,LINUX,USD,ANNUAL,624.59,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Basic - A2 - EU West,A2,LINUX,USD,ANNUAL,649.12,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Basic - A2 - US Central,A2,LINUX,USD,ANNUAL,707.81,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Basic - A2 - US East 2,A2,LINUX,USD,ANNUAL,565.90,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Basic - A3 - EU North,A3,LINUX,USD,ANNUAL,1564.54,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Basic - A3 - EU West,A3,LINUX,USD,ANNUAL,1697.69,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Basic - A3 - US Central,A3,LINUX,USD,ANNUAL,1564.54,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Basic - A3 - US East 2,A3,LINUX,USD,ANNUAL,1464.67,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Basic - A4 - EU North,A4,LINUX,USD,ANNUAL,3129.07,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Basic - A4 - EU West,A4,LINUX,USD,ANNUAL,3395.38,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Basic - A4 - US Central,A4,LINUX,USD,ANNUAL,3129.07,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Basic - A4 - US East 2,A4,LINUX,USD,ANNUAL,2929.34,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A0 - EU North,A0,WINDOWS,USD,ANNUAL,149.80,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A0 - EU West,A0,WINDOWS,USD,ANNUAL,149.80,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A0 - US Central,A0,WINDOWS,USD,ANNUAL,149.80,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A0 - US East 2,A0,WINDOWS,USD,ANNUAL,149.80,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A1 - EU North,A1,WINDOWS,USD,ANNUAL,282.95,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A1 - EU West,A1,WINDOWS,USD,ANNUAL,299.59,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A1 - US Central,A1,WINDOWS,USD,ANNUAL,291.71,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A1 - US East 2,A1,WINDOWS,USD,ANNUAL,291.71,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A2 - EU North,A2,WINDOWS,USD,ANNUAL,940.82,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A2 - EU West,A2,WINDOWS,USD,ANNUAL,1007.40,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A2 - US Central,A2,WINDOWS,USD,ANNUAL,1157.20,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A2 - US East 2,A2,WINDOWS,USD,ANNUAL,915.42,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A3 - EU North,A3,WINDOWS,USD,ANNUAL,2496.60,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A3 - EU West,A3,WINDOWS,USD,ANNUAL,2696.33,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A3 - US Central,A3,WINDOWS,USD,ANNUAL,2563.18,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A3 - US East 2,A3,WINDOWS,USD,ANNUAL,2463.31,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A4 - EU North,A4,WINDOWS,USD,ANNUAL,4993.20,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A4 - EU West,A4,WINDOWS,USD,ANNUAL,5392.66,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A4 - US Central,A4,WINDOWS,USD,ANNUAL,5126.35,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Basic Windows - A4 - US East 2,A4,WINDOWS,USD,ANNUAL,4926.62,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Windows - A0 - EU North,A0,WINDOWS,USD,ANNUAL,166.44,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Windows - A0 - EU West,A0,WINDOWS,USD,ANNUAL,166.44,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Windows - A0 - US Central,A0,WINDOWS,USD,ANNUAL,166.44,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Windows - A0 - US East 2,A0,WINDOWS,USD,ANNUAL,166.44,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Windows - A1 - EU North,A1,WINDOWS,USD,ANNUAL,748.98,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Windows - A1 - EU West,A1,WINDOWS,USD,ANNUAL,748.98,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Windows - A1 - US Central,A1,WINDOWS,USD,ANNUAL,748.98,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Windows - A1 - US East 2,A1,WINDOWS,USD,ANNUAL,748.98,0,US East 2
Azure,Virtual Machines,Virtual Machines A Series Windows - A10 - EU North,A10,WINDOWS,USD,ANNUAL,8987.76,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Windows - A10 - EU West,A10,WINDOWS,USD,ANNUAL,10336.80,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Windows - A11 - EU North,A11,WINDOWS,USD,ANNUAL,17975.52,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Windows - A11 - EU West,A11,WINDOWS,USD,ANNUAL,20673.60,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Windows - A2 - EU North,A2,WINDOWS,USD,ANNUAL,1497.96,0,EU North
Azure,Virtual Machines,Virtual Machines A Series Windows - A2 - EU West,A2,WINDOWS,USD,ANNUAL,1497.96,0,EU West
Azure,Virtual Machines,Virtual Machines A Series Windows - A2 - US Central,A2,WINDOWS,USD,ANNUAL,1497.96,0,US Central
Azure,Virtual Machines,Virtual Machines A Series Windows - A2 - US East 2,A2,WINDOWS,USD,ANNUAL,1497.96,0,US East 2
