vendor,service_name,UPPER(sku),os_type,currency,billing_type,unit_price,reservation_term,azure_region
Azure,Virtual Machines,A1_V2,Windows,CNY,ANNUAL,3377.88,1,CN EAST 2
Azure,Virtual Machines,A1_V2,Windows,CNY,ANNUAL,3377.88,1,CN NORTH 2
Azure,Virtual Machines,A2,Linux,CNY,ANNUAL,6201.81765,,CN EAST 2
Azure,Virtual Machines,A2,Linux,CNY,ANNUAL,6201.81765,,CN NORTH 2
Azure,Virtual Machines,A2,Windows,CNY,ANNUAL,7772.652594,,CN EAST 2
Azure,Virtual Machines,A2,Windows,CNY,ANNUAL,7772.652594,,CN NORTH 2
Azure,Virtual Machines,A2_V2,Linux,CNY,ANNUAL,7126.61166,,CN EAST 2
Azure,Virtual Machines,A2_V2,Linux,CNY,ANNUAL,7126.61166,,CN NORTH 2
Azure,Virtual Machines,A2_V2,Linux,CNY,ANNUAL,5390.28,1,CN EAST 2
Azure,Virtual Machines,A2_V2,Linux,CNY,ANNUAL,5390.28,1,CN NORTH 2
Azure,Virtual Machines,A2_V2,Windows,CNY,ANNUAL,8932.37058,,CN EAST 2
Azure,Virtual Machines,A2_V2,Windows,CNY,ANNUAL,8932.37058,,CN NORTH 2
Azure,Virtual Machines,A2_V2,Windows,CNY,ANNUAL,6755.76,1,CN EAST 2
Azure,Virtual Machines,A2_V2,Windows,CNY,ANNUAL,6755.76,1,CN NORTH 2
Azure,Virtual Machines,A2M_V2,Linux,CNY,ANNUAL,15401.54574,,CN EAST 2
Azure,Virtual Machines,A2M_V2,Linux,CNY,ANNUAL,15401.54574,,CN NORTH 2
Azure,Virtual Machines,A2M_V2,Linux,CNY,ANNUAL,11643,1,CN EAST 2
Azure,Virtual Machines,A2M_V2,Linux,CNY,ANNUAL,11643,1,CN NORTH 2
Azure,Virtual Machines,A2M_V2,Windows,CNY,ANNUAL,16260.5961,,CN EAST 2
Azure,Virtual Machines,A2M_V2,Windows,CNY,ANNUAL,16260.5961,,CN NORTH 2
Azure,Virtual Machines,A2M_V2,Windows,CNY,ANNUAL,12289.8,1,CN EAST 2
Azure,Virtual Machines,A2M_V2,Windows,CNY,ANNUAL,12289.8,1,CN NORTH 2
Azure,Virtual Machines,A3,Linux,CNY,ANNUAL,12486.91059,,CN EAST 2
Azure,Virtual Machines,A3,Linux,CNY,ANNUAL,12486.91059,,CN NORTH 2
Azure,Virtual Machines,A3,Windows,CNY,ANNUAL,15546.18177,,CN EAST 2
Azure,Virtual Machines,A3,Windows,CNY,ANNUAL,15546.18177,,CN NORTH 2
Azure,Virtual Machines,A4,Linux,CNY,ANNUAL,24891.42247,,CN EAST 2
Azure,Virtual Machines,A4,Linux,CNY,ANNUAL,24891.42247,,CN NORTH 2
