app,env,tshirt_size,app_role,sku,os_type,qty,is_asr_required,backup_type,weekly_data_chg_rate,disk1,disk2,linux_dist
RIM,NONPROD,SMALL,Viewing,DS3_v2,WINDOWS,1,0,APP,0.10%,P10,P10,
RIM,NONPROD,MEDIUM,Viewing,DS3_v2,WINDOWS,1,0,APP,0.10%,P10,P10,
RIM,NONPROD,LARGE,Viewing,DS3_v2,WINDOWS,1,0,APP,0.10%,P10,P10,
RIM,NONPROD,XLARGE,Viewing,DS3_v2,WINDOWS,1,0,APP,0.10%,P10,P10,
RIM,NONPROD,XSMALL,Micro Services,D2s_v3,WINDOWS,1,0,APP,0.10%,P10,P6,
RIM,NONPROD,SMALL,Micro Services,D2s_v3,WINDOWS,1,0,APP,0.10%,P10,P6,
RIM,NONPROD,MEDIUM,Micro Services,D2s_v3,WINDOWS,1,0,APP,0.10%,P10,P6,
RIM,NONPROD,LARGE,Micro Services,D2s_v3,WINDOWS,1,0,APP,0.10%,P10,P6,
RIM,NONPROD,XLARGE,Micro Services,D2s_v3,WINDOWS,1,0,APP,0.10%,P10,P6,
RIM,NONPROD,XSMALL,Database,E4s_v3,LINUX,1,1,DB,5.00%,P10,P10,RHEL
RIM,NONPROD,SMALL,Database,E4s_v3,LINUX,1,1,DB,5.00%,P10,P10,RHEL
RIM,NONPROD,MEDIUM,Database,E4s_v3,LINUX,1,1,DB,5.00%,P10,P10,RHEL
RIM,NONPROD,LARGE,Database,E4s_v3,LINUX,1,1,DB,5.00%,P10,P10,RHEL
RIM,NONPROD,XLARGE,Database,E4s_v3,LINUX,1,1,DB,5.00%,P10,P10,RHEL
RIM,NONPROD,XSMALL,Standby Database,E4s_v3,LINUX,1,1,DB,5.00%,P10,P10,RHEL
RIM,NONPROD,SMALL,Standby Database,E4s_v3,LINUX,1,1,DB,5.00%,P10,P10,RHEL
RIM,NONPROD,MEDIUM,Standby Database,E4s_v3,LINUX,1,1,DB,5.00%,P10,P10,RHEL
RIM,NONPROD,LARGE,Standby Database,E4s_v3,LINUX,1,1,DB,5.00%,P10,P10,RHEL
RIM,NONPROD,XLARGE,Standby Database,E4s_v3,LINUX,1,1,DB,5.00%,P10,P10,RHEL
